sponsor_name,ein,city,state,ntee_code,classification,propublica_url,search_term_found,collected_at,website,email,phone,contact_person,mission_statement,annual_revenue,assets,outreach_status,email_sent,response_received,sponsorship_amount,notes,follow_up_date,priority_level
Sundheim Family Foundation,831563495,New York,NY,T20,,https://projects.propublica.org/nonprofits/organizations/831563495,family foundation,2025-10-17 17:56:51,,,,,,,,not_contacted,no,no,,,,high
Gong Family Foundation,850778984,North Salem,NY,T22,,https://projects.propublica.org/nonprofits/organizations/850778984,family foundation,2025-10-17 17:56:51,,,,,,,,not_contacted,no,no,,,,high
Paulson Family Foundation,263922995,New York,NY,T22,,https://projects.propublica.org/nonprofits/organizations/263922995,family foundation,2025-10-17 17:56:51,,,,,,,,not_contacted,no,no,,,,high
Treehouse Family Foundation,854230020,New York,NY,T20,,https://projects.propublica.org/nonprofits/organizations/854230020,family foundation,2025-10-17 17:56:51,,,,,,,,not_contacted,no,no,,,,high
Lubetzky Family Foundation,821648087,New York,NY,W70,,https://projects.propublica.org/nonprofits/organizations/821648087,family foundation,2025-10-17 17:56:51,,,,,,,,not_contacted,no,no,,,,high
Timashev Family Foundation,821674572,New York,NY,P20,,https://projects.propublica.org/nonprofits/organizations/821674572,family foundation,2025-10-17 17:56:51,,,,,,,,not_contacted,no,no,,,,high
Higgins Family Foundation,384152217,New York,NY,T22,,https://projects.propublica.org/nonprofits/organizations/384152217,family foundation,2025-10-17 17:56:51,,,,,,,,not_contacted,no,no,,,,high
Patterson Family Foundation,356975288,New York,NY,T20,,https://projects.propublica.org/nonprofits/organizations/356975288,family foundation,2025-10-17 17:56:51,,,,,,,,not_contacted,no,no,,,,high
Quad Family Foundation,463835222,Cohoes,NY,T20,,https://projects.propublica.org/nonprofits/organizations/463835222,family foundation,2025-10-17 17:56:51,,,,,,,,not_contacted,no,no,,,,high
Mai Family Foundation,133915987,New York,NY,T20J,,https://projects.propublica.org/nonprofits/organizations/133915987,family foundation,2025-10-17 17:56:51,,,,,,,,not_contacted,no,no,,,,high
Daftuar Family Foundation,474685449,New York,NY,G99,,https://projects.propublica.org/nonprofits/organizations/474685449,family foundation,2025-10-17 17:56:51,,,,,,,,not_contacted,no,no,,,,high
Erie Family Foundation,522339484,New York,NY,T22,,https://projects.propublica.org/nonprofits/organizations/522339484,family foundation,2025-10-17 17:56:51,,,,,,,,not_contacted,no,no,,,,high
Mucci Family Foundation,922880400,Rochester,NY,T22,,https://projects.propublica.org/nonprofits/organizations/922880400,family foundation,2025-10-17 17:56:51,,,,,,,,not_contacted,no,no,,,,high
Fuhrman Family Foundation,461579112,New York,NY,T22,,https://projects.propublica.org/nonprofits/organizations/461579112,family foundation,2025-10-17 17:56:51,,,,,,,,not_contacted,no,no,,,,high
Gerstner Family Foundation,208559135,Armonk,NY,T22,,https://projects.propublica.org/nonprofits/organizations/208559135,family foundation,2025-10-17 17:56:51,,,,,,,,not_contacted,no,no,,,,high
Baratta Family Foundation,830767499,Saratoga Spgs,NY,T22,,https://projects.propublica.org/nonprofits/organizations/830767499,family foundation,2025-10-17 17:56:51,,,,,,,,not_contacted,no,no,,,,high
Fascitelli Family Foundation,133748071,New York,NY,,,https://projects.propublica.org/nonprofits/organizations/133748071,family foundation,2025-10-17 17:56:51,,,,,,,,not_contacted,no,no,,,,high
Marsal Family Foundation,841367157,New York,NY,T20Z,,https://projects.propublica.org/nonprofits/organizations/841367157,family foundation,2025-10-17 17:56:51,,,,,,,,not_contacted,no,no,,,,high
Kaye Family Foundation,134092284,Albany,NY,T20,,https://projects.propublica.org/nonprofits/organizations/134092284,family foundation,2025-10-17 17:56:51,,,,,,,,not_contacted,no,no,,,,high
