sponsor_name,ein,city,state,ntee_code,classification,propublica_url,search_term_found,collected_at,website,email,phone,contact_person,mission_statement,annual_revenue,assets,outreach_status,email_sent,response_received,sponsorship_amount,notes,follow_up_date,priority_level,alignment_score,potential_level,donation_history,template_number,template_type
Navigation Charitable Fund,921117448,Berkeley,CA,U05,,https://projects.propublica.org/nonprofits/organizations/921117448,charitable,2025-10-17 17:58:33,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor
Daffy Charitable Fund,863177440,Los Altos,CA,T30,,https://projects.propublica.org/nonprofits/organizations/863177440,charitable,2025-10-17 17:58:33,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor
Corporate Fund For Housing,953935881,Long Beach,CA,L200,,https://projects.propublica.org/nonprofits/organizations/953935881,corporate,2025-10-17 17:58:37,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor
Stars Scholarship Fund,431977563,Mcallen,TX,B82,,https://projects.propublica.org/nonprofits/organizations/431977563,scholarship,2025-10-17 17:59:32,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor
Poncin Scholarship Fund,916069573,Dallas,TX,,,https://projects.propublica.org/nonprofits/organizations/916069573,scholarship,2025-10-17 17:59:32,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor
701 National City Boulevard Fund,270370274,National City,CA,S99,,https://projects.propublica.org/nonprofits/organizations/270370274,national,2025-10-17 17:59:00,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor
Smith Educational Fund,46033742,Dallas,TX,,,https://projects.propublica.org/nonprofits/organizations/46033742,educational,2025-10-17 17:59:25,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor
Worthings Scholarship Fund,741160916,Dallas,TX,,,https://projects.propublica.org/nonprofits/organizations/741160916,scholarship,2025-10-17 17:59:32,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor
Eog Scholarship Fund,760479501,Houston,TX,B82,,https://projects.propublica.org/nonprofits/organizations/760479501,scholarship,2025-10-17 17:59:32,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,"{'has_donations': True, 'confidence': 0.7, 'source': 'donor_pattern', 'type': 'likely_donor'}",3,No Name + Past Donor
Liftfund Inc,742712770,San Antonio,TX,S43,,https://projects.propublica.org/nonprofits/organizations/742712770,inc,2025-10-17 17:59:49,,,,,,,,not_contacted,no,no,,,,high,24.705882352941178,Low,unknown,4,No Name + Never Donated
